"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-8.394403299734375, -2.741796202195128, -4.607934528693184)","(0.6990690716183998, -8.96155114863804, 3.798412465313307)","1","2937","13500","2899","13500","2682","13500"
"(1.859825234524071, -4.631346659179552, -5.493691917527049)","(4.345196905355175, 9.376641059442004, 4.21787361713405)","2","594","13500","534","13500","542","13500"
"(-3.9422518774752704, -4.20151424266108, -5.609282080482728)","(-7.511885166861076, 6.185469949366215, 4.18551101584637)","3","6879","13500","6986","13500","7058","13500"
"(-3.6651359764720888, 4.361287683238619, -0.4977129832528774)","(1.1222657169816141, 6.729626399116107, 4.4190410710812715)","4","914","13500","896","13500","816","13500"
"(5.4983834576655415, -5.149555721727474, -2.9059322478486402)","(1.9839470252872733, 1.4497555695501845, 4.341665613269578)","5","64","13500","58","13500","6","13500"
"(-2.6694049149389856, -8.996704004458167, -1.886496379233655)","(-3.3167277852261234, -0.20349702062781816, 3.612093006422956)","6","234","13500","310","13500","208","13500"
"(-6.254663819409533, -5.17685615774952, -1.5795535534851701)","(6.579193043996991, 3.2559058012111706, 3.945482294020141)","7","184","13500","232","13500","206","13500"
"(-2.3965267421857805, -0.1426781261324307, 2.726095696980245)","(9.812730489596689, 5.655333946553924, 3.811001888246572)","8","7126","13500","7171","13500","7207","13500"
"(1.6355032955738602, 3.06789745500179, -1.2813116242722953)","(-6.170953785796478, -6.01469707093945, 4.291160187272589)","9","2248","13500","2600","13500","3060","13500"
"(4.701041346434566, -4.598509019375965, -0.9430843236669983)","(5.696471338191589, 7.49904919567571, 4.493589702763421)","10","1004","13500","1100","13500","1298","13500"
"(-4.723993570264787, 1.13293746497593, 8.520960982794042)","(6.961487895455377, 8.015424617689195, 3.5854967593904394)","11","1138","13500","1213","13500","1454","13500"
"(-5.760613247404216, 7.081750697436045, -0.9919946387539863)","(-4.937652187684451, -1.5061643772297089, 4.31540612670304)","12","862","13500","946","13500","936","13500"
"(3.528819362420093, -2.392856476308712, -7.4342903162298075)","(-4.099422078022544, -9.325040195505101, 4.116705744539639)","13","6860","13500","6791","13500","6743","13500"
"(-0.9100683062008937, -5.783785114000128, 7.174017658154602)","(-0.8802975115483811, -8.671075713094933, 4.469813699926449)","14","944","13500","1036","13500","1026","13500"
"(-5.383065244258856, 4.520588452647939, -5.935042401267746)","(-0.9939953179241243, 0.13066179695765712, 4.4279335798663375)","15","84","13500","68","13500","16","13500"
"(-2.6540804654577674, 2.546919220535922, 5.375707698483995)","(5.113886482738877, -8.262301262617369, 3.782907179152329)","16","7287","13500","7523","13500","7558","13500"
"(4.222005887886027, 7.538188681602292, 4.203854740545428)","(6.161028049055869, -3.830321784906346, 4.415709125389534)","17","7067","13500","7176","13500","7102","13500"
"(-3.15644606460527, -5.329707083106276, 2.704961488260325)","(7.814569971693082, -0.038088373454183255, 3.8303790864319467)","18","6935","13500","7067","13500","6915","13500"
"(-7.277680598922026, -2.8253329583318503, -1.148288512550368)","(6.64211537129362, -2.8241872160777515, 4.179539167210859)","19","770","13500","650","13500","638","13500"
"(3.1745827237839337, 5.518221007264731, -7.056298214409336)","(1.5880359702992592, -1.2346860578604417, 4.436949897452313)","20","100","13500","82","13500","46","13500"
"(-3.9837603828381702, -3.846190531568091, -3.5593740442996795)","(3.2092960126960115, 4.456520065762797, 4.203158185013188)","21","203","13500","216","13500","128","13500"
"(-5.291919196376568, -4.249710093481788, -5.41303840771628)","(-2.333790415760671, 7.360548507835652, 3.5111631503401046)","22","564","13500","546","13500","531","13500"
"(1.2458153060249753, 7.285596076781913, -4.53422433697739)","(-8.15438321990017, -5.813953704541877, 4.418252724499716)","23","1664","13500","1980","13500","2186","13500"
"(-2.76355115227314, 6.775125299326909, -6.640665328863606)","(5.690574170252958, -1.258691301412897, 3.752101613890688)","24","158","13500","88","13500","22","13500"
"(1.8897283340066036, 5.156980917794623, 7.678890379129224)","(-3.928088425987828, -3.497894081082964, 4.00856554264863)","25","6943","13500","6914","13500","7039","13500"
"(2.996793991100871, -2.8556774859407885, -2.682394270029828)","(-4.392126208256959, -6.247175829109802, 3.78844055203133)","26","6793","13500","6902","13500","6959","13500"
"(-5.873978570478022, -0.10810489863611472, 0.4098010277826613)","(-4.853374215182544, -0.3392936906512656, 3.7593793553619723)","27","768","13500","660","13500","792","13500"
"(-1.2295157619602355, -0.9533043498271472, -5.013711684351103)","(4.966969478507568, -6.419739155898332, 4.478955364511799)","28","1376","13500","1502","13500","1602","13500"
"(3.3280216682561172, -4.776470388412108, 5.933408931329477)","(5.225791261735759, -8.039947873883346, 4.330950095994171)","29","1092","13500","1308","13500","1242","13500"
"(-1.1524820483113067, 3.3676199968222007, -6.447244985319373)","(-3.365698825669843, -7.823544190252827, 4.480522584086504)","30","1674","13500","1894","13500","2126","13500"
"(6.847631825724908, -3.116108950640111, -2.002158728592441)","(-7.904883078822682, 5.770241516729497, 4.270246360901788)","31","988","13500","1292","13500","1264","13500"
"(3.9865601226955723, -3.0741490528970163, -4.832637220059177)","(1.3517585394059228, -9.1219650648347, 3.6823641932717632)","32","7112","13500","6969","13500","6805","13500"
"(-4.168472035652406, 7.5436496450903405, -0.5164567657273467)","(-9.617107958140203, -7.309157826802306, 4.157793979823828)","33","6813","13500","6829","13500","6860","13500"
"(-7.130664999984266, 3.512218953469125, -5.583614013534945)","(4.179987195263603, -4.183435235616068, 3.614381766035873)","34","244","13500","280","13500","204","13500"
"(7.538427135433331, -3.5572143126707263, -0.26483482537195546)","(8.253356046670937, -9.898966991838146, 3.8605154018150443)","35","1666","13500","1876","13500","2072","13500"
"(1.9288772655422912, 1.5217637197923253, -6.739166923455718)","(-2.8799191263313535, -8.725965841587369, 4.178227225866321)","36","1535","13500","1718","13500","1894","13500"
"(-4.401939293279974, -3.2679352541805873, -1.9376303031813007)","(-3.760493654473633, -8.242070700424623, 4.014630073607101)","37","1472","13500","1721","13500","1892","13500"
"(-6.571860637992528, -3.001285279708493, -2.4189645938547493)","(-1.236006979567179, -4.918408248041544, 4.105303056705809)","38","1037","13500","1260","13500","1328","13500"
"(0.12893833267327193, -4.517038390272907, -4.97294839023136)","(-0.4656256141433772, -3.427795875927524, 4.128710261159359)","39","6952","13500","7002","13500","7027","13500"
"(-5.395484737831286, -0.983130424414826, -6.687400367838399)","(-4.636459920255181, 0.879777685208305, 4.4115666235036715)","40","6824","13500","6885","13500","6982","13500"
"(1.1052486235353642, -4.848005335584978, 4.444566494630194)","(6.715481192778075, -5.496626668472939, 3.749176582170214)","41","1044","13500","1180","13500","1140","13500"
"(3.4396532893962966, 2.4244648831845432, -5.01800325658646)","(4.6253825225794785, 3.241475704745687, 3.8161137388201345)","42","454","13500","507","13500","403","13500"
"(-2.9673084148083073, -2.7534207120463443, -0.706528322977137)","(-7.295196867765608, -6.401732771415414, 3.8698371015791455)","43","1230","13500","1351","13500","1447","13500"
"(3.5506751406943238, -7.856406429458245, 2.0724666779936665)","(3.1898686816835813, 7.275084177104713, 4.346027994595675)","44","744","13500","815","13500","801","13500"
"(-2.396204146370333, -5.998435359160176, -4.998623697255808)","(1.1665571546012643, 8.267833275315375, 4.173114274965431)","45","367","13500","408","13500","504","13500"
"(1.988088481074339, -0.952243420387878, -3.404987244985684)","(9.953863468920868, -2.373172232569898, 3.504634155967552)","46","7184","13500","7049","13500","6962","13500"
"(-6.728913003593054, 5.7217519132626125, -0.6690269690352655)","(-4.638855214223117, 9.017697951962987, 4.433586136875334)","47","912","13500","1078","13500","1193","13500"
"(0.898412621413605, 2.858927126961118, 3.3694271431239726)","(-3.342141091313138, -5.630726049638435, 3.73650780111009)","48","7187","13500","7290","13500","7229","13500"
"(-4.532234703677105, -4.274810399777949, -3.875725349182983)","(1.2854542050944335, 9.187804568807472, 4.278167547669827)","49","865","13500","902","13500","886","13500"
"(-2.5689769316463194, -1.8983472453072585, 3.400960267325491)","(4.420409550028877, 6.339428635077837, 3.507587100931773)","50","6930","13500","6833","13500","6727","13500"
"(5.343718990507927, 4.225982487874972, 4.675760951571134)","(3.7608976931931615, -0.4286749518482651, 3.527434893715424)","51","80","13500","40","13500","0","13500"
"(-2.551777030060732, -4.409473516507138, -3.335118150104721)","(2.255465115045981, -2.3409749124123884, 3.9759224218217972)","52","6872","13500","7017","13500","6905","13500"
