"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(1, 1, 1)","(-1.3071476997121163, -6.700249117765953, 4.395652427243794)","1","65","125","68","125","73","125"
"(1, 1, 1)","(7.218372433770103, -5.4783551032463755, 3.5820519422486634)","2","75","125","71","125","63","125"
"(1, 1, 1)","(2.670117263667258, -9.627026891446988, 4.003539768646438)","3","77","125","81","125","76","125"
"(1, 1, 1)","(2.3513316333181518, -8.402829356877447, 4.419760582254243)","4","87","125","98","125","90","125"
"(1, 1, 1)","(-2.9839225924046575, -6.141574546943785, 4.1041288625417485)","5","73","125","87","125","76","125"
"(1, 1, 1)","(-4.204110846621358, 2.5303736517209057, 4.048769088470612)","6","95","125","98","125","97","125"
"(1, 1, 1)","(2.3951582053250107, -3.806262247740051, 3.52835893773293)","7","42","125","53","125","51","125"
"(1, 1, 1)","(4.614882297991274, -8.808238152984519, 3.7824650173104026)","8","90","125","97","125","92","125"
"(1, 1, 1)","(9.855038420690349, -5.756988885735215, 4.02622426234394)","9","63","125","63","125","60","125"
"(1, 1, 1)","(-1.975488734839292, 1.1919182845159497, 3.6993525693957134)","10","5","125","5","125","1","125"
"(1, 1, 1)","(4.392293449091486, 8.928201833428023, 4.054857054102779)","11","39","125","47","125","51","125"
"(1, 1, 1)","(-0.8851390479842447, -8.799158377226185, 4.401733682923287)","12","67","125","66","125","66","125"
"(1, 1, 1)","(0.42620076797180495, -1.6572190172596173, 4.26833391853475)","13","4","125","9","125","8","125"
"(1, 1, 1)","(-0.34332949190052275, 7.390672414051384, 4.285219727507512)","14","58","125","50","125","34","125"
"(1, 1, 1)","(6.370340479825991, -9.803769484121197, 3.558244929025539)","15","89","125","78","125","62","125"
"(1, 1, 1)","(6.404437426109364, 1.4294134888840944, 3.7659622101764874)","16","41","125","33","125","30","125"
"(1, 1, 1)","(-1.8976622476931766, 9.122269173201449, 3.7652768901767337)","17","75","125","73","125","72","125"
"(1, 1, 1)","(-8.143746209641334, 6.416731541712444, 4.152532781560311)","18","83","125","61","125","51","125"
"(1, 1, 1)","(-2.896487219663868, -0.12771390497393398, 4.419779314721039)","19","97","125","86","125","86","125"
"(1, 1, 1)","(-4.874035805963994, 6.798418215490049, 3.6614980332268123)","20","77","125","68","125","64","125"
"(1, 1, 1)","(2.5780932230895903, 8.330432617992656, 3.831260261873832)","21","34","125","46","125","44","125"
"(1, 1, 1)","(5.394702089639798, -3.8157885544740378, 3.81976828019038)","22","83","125","86","125","79","125"
"(1, 1, 1)","(6.780437420843672, -4.548672162372895, 3.811811299277605)","23","76","125","70","125","67","125"
"(1, 1, 1)","(-1.1140709786515828, 9.224680535022042, 4.417201732495089)","24","72","125","73","125","65","125"
"(1, 1, 1)","(9.840480458049512, -4.081933028387194, 3.754773675980285)","25","68","125","68","125","64","125"
"(1, 1, 1)","(-8.992020659984203, 2.445449284562626, 3.6713428659907255)","26","75","125","82","125","83","125"
