"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(1, 1, 1)","(-3.1785819524149765, -6.422104762626337, 3.9503090060105075)","1","77","125","72","125","69","125"
"(1, 1, 1)","(2.3715791204749532, 0.8946224822851594, 3.6596389328307817)","2","0","125","1","125","0","125"
"(1, 1, 1)","(-7.992571481753332, -3.2414854464110725, 4.40969635565024)","3","55","125","67","125","73","125"
"(1, 1, 1)","(0.18382562551655646, 1.5998424236883402, 3.8195429110965113)","4","0","125","3","125","0","125"
"(1, 1, 1)","(-3.6827593505161964, 1.8939634776585468, 4.438083480198813)","5","83","125","87","125","87","125"
"(1, 1, 1)","(8.643061006806928, 1.1908613125185479, 3.5023411593837706)","6","10","125","5","125","7","125"
"(1, 1, 1)","(8.360375979734002, 5.547093599572079, 3.5801578606472626)","7","3","125","5","125","5","125"
"(1, 1, 1)","(-5.3304836862880345, 3.420923266031, 4.493435732890354)","8","98","125","90","125","86","125"
"(1, 1, 1)","(7.984736794236422, -1.6003368074379019, 3.6355663710931685)","9","46","125","45","125","29","125"
"(1, 1, 1)","(5.642757490783447, -4.805649520676285, 4.370813035953928)","10","86","125","85","125","67","125"
"(1, 1, 1)","(-4.569214341502674, -8.246472599027852, 3.808664982838632)","11","60","125","58","125","56","125"
"(1, 1, 1)","(-0.6129822734076242, 1.975121443573073, 4.399593960910105)","12","0","125","4","125","10","125"
"(1, 1, 1)","(-7.224710077987353, 4.986469509193924, 3.5500709388358995)","13","79","125","77","125","88","125"
"(1, 1, 1)","(1.1089755949393556, -7.324406145133818, 4.1767941513462485)","14","61","125","64","125","67","125"
"(1, 1, 1)","(-6.867511754123543, 1.18728891752699, 4.2096167453193)","15","63","125","69","125","77","125"
"(1, 1, 1)","(4.98504343651075, -7.331413874604693, 4.119739248214733)","16","86","125","85","125","77","125"
"(1, 1, 1)","(2.1395885791327913, 3.3464194248174373, 4.40640326427988)","17","0","125","0","125","1","125"
"(1, 1, 1)","(-3.8978078287173634, 8.401408452943816, 3.700675778196623)","18","73","125","64","125","60","125"
"(1, 1, 1)","(-1.028439700076305, 0.6659407077361514, 4.255066188150615)","19","91","125","92","125","74","125"
"(1, 1, 1)","(9.103765768536213, -2.6429730959873865, 4.182310744512549)","20","63","125","69","125","70","125"
"(1, 1, 1)","(6.707547653269074, -0.015568357215471451, 3.5750954205182848)","21","8","125","5","125","5","125"
"(1, 1, 1)","(1.185779787422108, 1.5631441121482403, 3.737987495469337)","22","3","125","3","125","0","125"
"(1, 1, 1)","(-5.613039768280252, 6.299456678286823, 4.0560214768735)","23","85","125","92","125","68","125"
"(1, 1, 1)","(-1.3418600636884719, -8.621600945824696, 3.9456438859871943)","24","50","125","50","125","52","125"
"(1, 1, 1)","(0.6391430775402807, 4.776811138220161, 3.8880039255622783)","25","5","125","5","125","2","125"
"(1, 1, 1)","(9.716312018262851, -9.819604792241911, 3.5096617782969646)","26","98","125","73","125","67","125"
"(1, 1, 1)","(2.357752609628861, 4.681634704665571, 3.93205780885211)","27","3","125","1","125","0","125"
"(1, 1, 1)","(-5.326398260622536, 0.8441526268359674, 4.342122031520651)","28","68","125","81","125","83","125"
"(1, 1, 1)","(-7.1473858987787375, 6.8740486258929465, 4.206224781687428)","29","99","125","88","125","66","125"
"(1, 1, 1)","(-0.5572781737262602, -9.63362593814352, 4.334269824159562)","30","50","125","51","125","49","125"
"(1, 1, 1)","(1.5430419494398038, -2.694675499070385, 4.422271137144171)","31","92","125","100","125","71","125"
"(1, 1, 1)","(-2.4118576229348188, -5.594438950606695, 4.39659317424543)","32","50","125","57","125","54","125"
"(1, 1, 1)","(4.678205579345846, -4.435255379647796, 4.415372026737615)","33","87","125","90","125","71","125"
"(1, 1, 1)","(2.5732715043481456, 2.7680441452666855, 4.36708571927521)","34","0","125","0","125","0","125"
"(1, 1, 1)","(-0.45514110441184386, -2.5898312120446665, 3.8239833237186494)","35","75","125","80","125","85","125"
"(1, 1, 1)","(-1.6715171065088654, 2.3907998333194413, 4.3343725413538285)","36","94","125","90","125","81","125"
"(1, 1, 1)","(1.2954242282382982, 1.1475851551449345, 4.007534665821421)","37","1","125","0","125","1","125"
"(1, 1, 1)","(8.298178690654495, -4.141358410749514, 4.304610245268913)","38","70","125","67","125","59","125"
"(1, 1, 1)","(-1.2671565512188625, 8.229565678133145, 4.291837210529245)","39","66","125","76","125","85","125"
"(1, 1, 1)","(4.749643440467219, 3.8451313296984715, 3.812787589912217)","40","10","125","8","125","2","125"
"(1, 1, 1)","(-6.299274623755398, 3.8228778564119175, 3.63006506136637)","41","77","125","75","125","81","125"
"(1, 1, 1)","(-9.233557617798752, -1.6251341799729317, 4.409757983260206)","42","50","125","53","125","49","125"
"(1, 1, 1)","(3.4609625630083904, 1.6336099070892836, 3.603472486492687)","43","0","125","2","125","0","125"
"(1, 1, 1)","(-8.083958068616187, 1.3469207593366015, 3.5108572945186087)","44","53","125","57","125","56","125"
"(1, 1, 1)","(0.9530809650185859, 2.2507091657498925, 4.404289386701055)","45","0","125","0","125","0","125"
