"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(1, 1, 1)","(4.2381871678914695, -8.54495760751349, 3.5398235898407977)","1","65","125","72","125","82","125"
"(1, 1, 1)","(-1.1114534640388065, -0.5309881324375496, 3.991767084947888)","2","90","125","90","125","91","125"
"(1, 1, 1)","(8.847740791810132, 7.685010466393646, 4.445400677806465)","3","10","125","6","125","0","125"
"(1, 1, 1)","(2.8344250328647824, -4.594687351870224, 4.485436733289965)","4","81","125","82","125","86","125"
"(1, 1, 1)","(-0.6105228678560781, 0.07353901033497934, 3.656481642981239)","5","12","125","15","125","15","125"
"(1, 1, 1)","(9.946071043017735, 4.203381322586388, 4.206408385425023)","6","12","125","6","125","0","125"
"(1, 1, 1)","(6.677724533385586, 3.5522217735722954, 3.817295718493182)","7","5","125","5","125","2","125"
"(1, 1, 1)","(-0.1841157915441567, 8.84051961201191, 3.6205414027055296)","8","25","125","23","125","15","125"
"(1, 1, 1)","(7.55684758361236, -5.463733632773051, 4.060004452723817)","9","70","125","70","125","58","125"
"(1, 1, 1)","(1.2851038134800863, -2.6121414947666803, 4.357029610601915)","10","80","125","84","125","64","125"
"(1, 1, 1)","(3.526140412361137, -1.8587214094968711, 3.661371937568888)","11","10","125","10","125","10","125"
"(1, 1, 1)","(8.105469351194447, 7.643913180785052, 3.5444098920040985)","12","7","125","5","125","0","125"
"(1, 1, 1)","(9.502327601401056, 4.669531402067015, 4.2614784312212475)","13","26","125","17","125","10","125"
"(1, 1, 1)","(-4.519848222634599, 7.9975780071880855, 3.633021227401195)","14","73","125","67","125","53","125"
"(1, 1, 1)","(-1.7998580425960213, -1.6852191007069077, 3.5175084391094336)","15","55","125","57","125","57","125"
"(1, 1, 1)","(0.5453801574105572, -6.366596859597882, 4.169338930772591)","16","61","125","64","125","64","125"
"(1, 1, 1)","(1.4286007410894452, 7.259237283762321, 4.0087354337921655)","17","7","125","5","125","5","125"
"(1, 1, 1)","(9.227850835945887, -0.45825691876483887, 4.118049761820166)","18","75","125","90","125","90","125"
"(1, 1, 1)","(-1.2148723996275415, -6.320135357579262, 4.231390735632607)","19","58","125","60","125","60","125"
"(1, 1, 1)","(-2.550751473280643, -9.27517883803884, 3.794668802945498)","20","50","125","51","125","52","125"
"(1, 1, 1)","(-8.445776569153933, -2.0018394385970995, 4.211152488108537)","21","50","125","52","125","53","125"
"(1, 1, 1)","(-7.116302582211677, -5.753255704505628, 4.107623288914122)","22","50","125","52","125","52","125"
