"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-3.8654434092874297, 4.588824927249814, 0.03214088746615801)","(-6.5997402727611405, 3.6269675997855995, 3.9889686407024962)","1","246","4500","305","4500","376","4500"
"(1.5247165192636394, -0.07174353894123668, -5.802593592567445)","(-0.34770009978564786, -3.4516942495395497, 4.346202795627628)","2","42","4500","50","4500","18","4500"
"(0.9223707083487402, -2.313942251552401, 5.458470805350235)","(8.655164557524074, 3.076722641556536, 4.065023662958968)","3","1063","4500","1088","4500","1205","4500"
"(-2.7992913323692807, -4.053551669276672, -3.4253009942232113)","(7.880984292064518, -7.343560164223351, 3.6712241720794845)","4","3688","4500","3697","4500","3755","4500"
"(-2.9702023651850835, -2.5418046993297314, 4.551607054691148)","(5.639945806553449, -2.049137986836687, 3.7319639994232032)","5","829","4500","864","4500","938","4500"
"(-3.0581061213042484, -3.910913686228675, -3.3693828944942905)","(8.930368760356256, -6.265900680301306, 4.185731841142258)","6","3550","4500","3550","4500","3629","4500"
"(3.3978879971037177, -4.054135566294574, 2.8316677010630795)","(1.5487885084936543, 8.152034939708262, 4.458962729309976)","7","1115","4500","1148","4500","1312","4500"
"(-0.3414570104569854, 5.975500385294839, 0.4204786027267004)","(0.25650440236737637, -3.8335469240331115, 4.392063195676061)","8","150","4500","142","4500","170","4500"
"(-3.3013388201325538, -2.6704235269186545, -4.239103700260838)","(-8.291407077802905, 8.53473055372758, 3.6896148707424414)","9","3869","4500","3875","4500","3906","4500"
"(-2.008165172373381, -4.698282581641316, -3.145379694649344)","(6.162330022658406, 6.759947460075988, 3.9323910338320935)","10","655","4500","781","4500","795","4500"
"(-0.3396978066510811, -5.193869710863356, 2.9846813610053338)","(8.984705697119232, -2.0904312137509535, 4.158835496497553)","11","1193","4500","1206","4500","1310","4500"
"(3.4833121660026984, 2.1581584005362666, -4.382794619004218)","(6.289211599523174, 7.764792661033397, 3.9025098277648964)","12","635","4500","590","4500","699","4500"
"(-2.4201573637757976, 1.1707430736786186, -5.363972314432218)","(1.680507845116617, 4.966022405973749, 4.376555271152965)","13","302","4500","252","4500","206","4500"
"(3.3504572783721835, -4.90596716663625, -0.84019175530943)","(3.138020271585793, 6.394340060611757, 4.044962716818116)","14","843","4500","924","4500","919","4500"
"(4.282173592514813, -1.1484509387227453, -4.042777481499027)","(-4.046699975347893, 0.806553357003164, 4.3831146974597415)","15","138","4500","146","4500","106","4500"
"(-2.2998138371769254, 3.955546533637651, 3.8813023503144795)","(2.635167962374215, -3.4032507044665667, 4.231691540862537)","16","1034","4500","1041","4500","1140","4500"
"(-5.212918606667569, -2.196852321325281, -1.999829862399992)","(-2.1637706690277803, -4.1749054630626725, 4.391018960413022)","17","881","4500","974","4500","983","4500"
"(-3.1857501429516693, -4.081809340812845, -3.031472997065357)","(9.864289746492346, 8.257569107323658, 4.307558711505552)","18","1212","4500","1319","4500","1550","4500"
"(-5.897910256613391, -0.15351888343717646, 1.0913691205832994)","(6.642975556768761, -4.368523640349449, 3.9738017390617735)","19","1031","4500","1146","4500","1222","4500"
"(1.7817619548668098, 2.0715331179500467, -5.341729577339662)","(8.25830352303371, -4.439183965082818, 4.055134940303116)","20","3826","4500","3865","4500","3918","4500"
"(-4.307246925710361, -4.123738435125803, -0.6651355047092541)","(7.544196744741775, -7.746906699996421, 4.027062972984215)","21","3878","4500","3866","4500","3895","4500"
"(5.272845743693161, 2.3511219075018563, -1.6338064571061532)","(3.03164244586309, 7.422383620164627, 3.702962657128992)","22","1260","4500","1360","4500","1550","4500"
"(4.699311038337262, 0.40177070202462056, 3.708780940950301)","(7.985148984219045, 2.9310382147781144, 3.720680030718333)","23","657","4500","741","4500","780","4500"
"(-1.3915752761184537, 0.6509682607602038, 5.799979187409096)","(-3.7793026957188562, 3.22304634397163, 3.721472429425613)","24","223","4500","178","4500","110","4500"
"(-1.3164737825552497, 5.594523408267515, -1.7228478209614186)","(-1.3706780926958793, -9.620499678847839, 3.587076238081705)","25","1087","4500","1167","4500","1286","4500"
"(0.91909856443576, -1.7046695095415185, -5.678851969552614)","(7.51253274011377, 8.736607008106422, 4.242027627539333)","26","3418","4500","3518","4500","3604","4500"
"(-5.373772328542622, -2.293799476857655, -1.3642048676636358)","(-0.5755744510897642, -8.473810175819585, 3.5161227310975662)","27","1054","4500","986","4500","1064","4500"
"(-2.862154905664464, 2.7891376524234834, -4.47535255056118)","(9.92290019987552, -7.342892298265542, 3.90372475940961)","28","1050","4500","1108","4500","1257","4500"
"(2.5075544954624958, 4.622961096111055, 2.8879752693071143)","(8.791370008352594, -0.9687112423277, 4.447663381103334)","29","1313","4500","1381","4500","1514","4500"
"(5.104486098988887, -1.9732770900324066, 2.4597559210585196)","(-3.8464515058878597, -2.32668133536383, 3.500605391688643)","30","896","4500","868","4500","930","4500"
"(3.510831376430662, -3.822462090275164, -3.0104562137123354)","(5.566174406718181, -0.4592889677574199, 4.195560750374559)","31","1115","4500","1061","4500","1092","4500"
"(0.05862990070048216, -5.649779937502195, -2.0190466048463414)","(5.937196323434426, 6.694785491665783, 3.794171886550292)","32","1169","4500","1224","4500","1419","4500"
"(-2.7374774726321, 4.351387924320011, -3.0938067520311856)","(-4.727100316776127, -1.264994172624796, 3.8039632283667424)","33","1059","4500","1078","4500","1174","4500"
"(2.863060858060487, 4.970306430850746, -1.7603796483956706)","(4.387784887192055, -6.294187129300428, 4.479542715403397)","34","1368","4500","1403","4500","1555","4500"
"(-3.8762518103964547, -1.2200066740118374, 4.414323914005946)","(6.784271582471206, 3.0910065654702468, 4.12408913363832)","35","2941","4500","3065","4500","3158","4500"
"(-5.636546167697778, 1.8797389293922149, -0.8342235052663656)","(0.4179721894465658, 1.153808374704699, 3.798677748799702)","36","130","4500","46","4500","2","4500"
"(-2.949050067052436, 2.3930437052467286, 4.645045266388373)","(3.2885665299867917, 9.2872948924905, 3.8991929819976807)","37","843","4500","800","4500","905","4500"
"(3.5028839430040306, -0.5720206084736683, 4.837623022242013)","(2.2700906712177744, 9.413597291053033, 4.272241142057721)","38","3595","4500","3649","4500","3765","4500"
"(-3.4317357862955093, 3.5384446230340165, 3.4209061873691295)","(5.681401872044198, 9.194167844698356, 4.379742537067122)","39","3605","4500","3655","4500","3743","4500"
"(-3.3899721431467893, 4.875043786782643, -0.8614156636843334)","(-8.778629371964445, -7.122600699598296, 3.8274337659609854)","40","3954","4500","3950","4500","3940","4500"
"(-5.1810729200514265, 0.3285948739752117, -3.0080739362434223)","(1.592526722135446, 6.4692745222628965, 4.266323762505425)","41","1307","4500","1334","4500","1409","4500"
"(4.757452948076375, 0.7532713043343455, 3.57760028355682)","(-1.8968119129438765, 8.741868050977416, 4.10090635952181)","42","3870","4500","3892","4500","3956","4500"
"(-5.099551213571338, 0.654197452140692, -3.092992582237423)","(-3.94483794975951, 6.400557302577095, 4.06779391592309)","43","3776","4500","3853","4500","3899","4500"
"(-1.115145052968303, 3.0832972853857696, 5.024910880878691)","(-9.360811112873114, 8.676916296938725, 3.9065783554559705)","44","607","4500","512","4500","504","4500"
"(-4.853964270764716, 3.3278166013012984, 1.168189850256814)","(4.108716602825677, -7.415839208712589, 3.702894072349744)","45","1321","4500","1450","4500","1649","4500"
"(-3.2199543978180007, -4.38699607511662, 2.5270851020264176)","(-6.157631820644829, -6.076335906156373, 4.4727337872726665)","46","1092","4500","1169","4500","1348","4500"
"(-1.7341522110329053, -5.4214094039403555, 1.8976396348719002)","(0.35856125845918996, 3.7796653662158626, 4.291116575049084)","47","930","4500","1050","4500","1324","4500"
"(0.5900197942550632, 5.0036141094065725, -3.2581777862072965)","(-0.9975551391781501, -2.253447950374796, 4.076680342913265)","48","56","4500","48","4500","14","4500"
"(4.86907033185668, -2.9907217527551, 1.8296823497619852)","(-3.677392668397692, 0.3509887972060639, 4.407998251573165)","49","1100","4500","1204","4500","1334","4500"
"(-2.646240951999336, 3.1071991208080307, 4.398036203535783)","(2.2457690455805572, -5.1831150131843495, 3.877432977306598)","50","3863","4500","3887","4500","3901","4500"
"(-0.061880032716599136, -5.209254955286229, -2.9765472736674057)","(6.473917679022453, -1.2469292563098495, 3.693675910306232)","51","3951","4500","3954","4500","3977","4500"
"(-3.0574751152221546, 1.454388590249755, 4.953443221472172)","(4.074035825664344, -0.16907548932716132, 4.36052801092218)","52","850","4500","883","4500","1052","4500"
"(1.6403754063370248, 4.791437977703391, 3.2173421689503705)","(-6.388850453097755, -3.944796657480256, 3.637725338738816)","53","799","4500","786","4500","849","4500"
"(4.50060714147212, 3.9399498523083705, -0.4704577764533278)","(-3.6714290483918255, -2.086175207874186, 4.326275349017427)","54","168","4500","186","4500","198","4500"
"(1.245182734079466, 3.801188714686451, -4.472190102633245)","(2.2241179548844325, -1.1397272838820012, 3.7090187000818546)","55","92","4500","46","4500","0","4500"
"(0.050814342248378566, -3.309488898861165, 5.004468116686985)","(3.920200530063296, 9.00654497591432, 4.223714530902429)","56","3517","4500","3597","4500","3696","4500"
"(3.0572034422477934, -3.8052544499479604, 3.489060859867523)","(-1.9432224136660317, 0.29303162812237993, 4.4042384187205945)","57","252","4500","234","4500","140","4500"
"(3.235353969775654, -1.1536070528104303, 4.919519840183893)","(5.002848749130752, 9.892769285420918, 3.7173063259770975)","58","3453","4500","3524","4500","3584","4500"
"(4.068566600230446, -4.372306056908481, -0.5741999340044163)","(-6.3538547784330435, -7.12450954733066, 3.623963108099701)","59","4006","4500","3977","4500","3982","4500"
"(2.936030651405694, -1.7273639214514014, 4.939224422606681)","(1.1537017857823137, 2.1664319184457312, 4.383282738448404)","60","160","4500","162","4500","54","4500"
"(4.873732866129442, -0.9061144226995832, 3.3801900246266454)","(-9.591193290110834, -2.345335753014142, 3.9583637056550964)","61","3213","4500","3316","4500","3393","4500"
"(-1.6447752386438332, 5.447191005763499, -1.903371892477496)","(-7.267636582090824, -6.888945719373208, 3.732549033808815)","62","3486","4500","3581","4500","3744","4500"
"(4.609721008969277, 3.8252621749080373, -0.34328051602894805)","(8.547655295011197, 9.890854467968431, 4.121807942770069)","63","595","4500","497","4500","488","4500"
"(3.883811368171577, -4.549444754020164, 0.46750581448751866)","(6.87976562911469, -6.152216355715241, 4.473337960966565)","64","1375","4500","1500","4500","1719","4500"
