"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-5.146078951448784, -2.0883483866572905, 2.2708307822032188)","(5.7118449896659325, 8.758352476410352, 4.0707564194038355)","1","350","4500","404","4500","434","4500"
"(0.1826355155288263, 1.0281597237671887, -5.908428881766328)","(-6.528487540094973, -3.469941377823287, 4.0486102533959745)","2","654","4500","745","4500","773","4500"
"(3.151903411885667, -3.7282442684528334, -3.4879362891102366)","(-5.115222248643018, 9.317099028735736, 4.253941103847242)","3","410","4500","466","4500","494","4500"
"(2.137014861785858, -1.736153282692272, 5.330941685997252)","(-1.0962048817401655, -6.8852232023112965, 4.262531529471935)","4","612","4500","692","4500","784","4500"
"(2.0135560039418388, -5.599732358770172, -0.7671960174114706)","(7.470280887586071, 6.992414381733138, 3.6818770151162012)","5","441","4500","491","4500","454","4500"
"(-4.755830332454118, 2.40764993504292, -2.7541422692368616)","(2.75061801793856, -8.021908123172516, 3.6618975284064907)","6","861","4500","886","4500","856","4500"
"(-5.289141074590477, -1.9580381856903049, -2.047211067881986)","(4.458166341547932, 5.408963297439879, 4.061574312287274)","7","70","4500","76","4500","64","4500"
"(-5.402781828604757, -2.251749423702666, 1.3189287491570372)","(-0.9763191475459223, 2.5525053556013795, 3.6931398686621)","8","18","4500","18","4500","0","4500"
"(-1.9041878995539228, 5.347548814593236, -1.943653806297532)","(-8.893603530317417, -6.424928439067172, 4.07564515283751)","9","3117","4500","3177","4500","3298","4500"
"(1.1387365044874795, -3.5494394566036473, -4.701569814142171)","(-4.963972017712193, -6.329386645312138, 3.6808531137438374)","10","3653","4500","3701","4500","3718","4500"
"(5.658460561343985, -0.336564849288305, -1.966862521361941)","(-9.878372582592387, -7.560974744024522, 3.805654819129096)","11","789","4500","764","4500","862","4500"
"(3.061611342668248, -5.06099645310447, -1.0064049324745568)","(-1.1911951100508151, 1.5887827390990257, 4.267909424108423)","12","84","4500","60","4500","14","4500"
"(3.6107525669071356, 4.786343759463203, 0.2310396433973587)","(-7.403909066125025, 7.351783561203526, 4.48173625741299)","13","3689","4500","3714","4500","3682","4500"
"(-4.051428655294408, -1.1540794611579936, -4.272473106807417)","(-9.79705453936489, -6.748890832418192, 4.073896643626335)","14","3208","4500","3303","4500","3384","4500"
"(-0.3853541545967884, -0.592709406760271, -5.9582042374085225)","(6.068615920189316, 3.7859560956857443, 3.679594872733419)","15","122","4500","106","4500","56","4500"
"(4.345203073241612, -3.8911407766206896, 1.4064969636694542)","(-4.531944143715101, 8.978293236370657, 3.736704189366533)","16","425","4500","508","4500","592","4500"
"(-3.5431671700565786, -1.730264209679146, 4.522405573335574)","(3.098736120179204, -1.1374675969792598, 4.302927616545164)","17","56","4500","46","4500","8","4500"
"(-2.603787914272706, -4.333711166266549, 3.230980659933454)","(-8.710604232359634, 6.537785695717162, 3.766607715137483)","18","3529","4500","3579","4500","3656","4500"
"(4.62676278402472, 3.770807716509253, -0.6116169597698412)","(9.908785212758048, -5.284835742672607, 3.910385363652349)","19","3817","4500","3856","4500","3868","4500"
