"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-0.4924943105100771, 5.470433205227267, 2.4149140567030805)","(-8.82716089900547, 3.405475211622008, 3.5268919005297903)","1","72","4500","98","4500","136","4500"
"(-4.536359083943439, -3.8724205865200427, 0.6525374032341827)","(-6.728701201583371, -6.740984024615251, 4.409425339976373)","2","78","4500","198","4500","240","4500"
"(1.3720316797067602, 0.12573001259876987, 5.839667887287167)","(-0.2325662146642884, 2.3917726165882147, 3.9578767077887345)","3","28","4500","16","4500","0","4500"
"(-3.403342911706915, -3.6161198587934873, 3.367630352662488)","(-0.6932193001616209, 4.63424830410435, 4.44811082029482)","4","114","4500","148","4500","102","4500"
"(1.4167691914527418, 2.0289808219019516, -5.46589442657873)","(7.526155655428969, 0.020688870750811716, 3.887111689375856)","5","348","4500","370","4500","354","4500"
"(3.0118338785684817, 4.609657286871755, -2.383257515565044)","(-0.07540884723347752, -0.6512056059261084, 3.6898607071326808)","6","20","4500","8","4500","0","4500"
"(3.348883571733228, 3.884957134971315, -3.1132116668178487)","(1.4368533813428446, -1.5580871445569038, 4.03983243794975)","7","30","4500","12","4500","0","4500"
"(1.253349842581684, -5.605257626971016, -1.7349931145061412)","(8.808443140909084, -1.8425574879990378, 4.151155713430113)","8","361","4500","349","4500","333","4500"
"(-5.76820736905468, -1.4261832343907535, 0.8329376504433101)","(-8.764634415331287, -8.644857469792775, 3.7708524311627016)","9","158","4500","217","4500","275","4500"
"(5.27187362215436, 0.8672155426802954, 2.7304369090983927)","(4.01769877491882, 2.643511324456071, 4.278182814338086)","10","38","4500","30","4500","6","4500"
"(5.1166647249900326, 3.0685004358913948, 0.6356470459122728)","(8.12869264424602, 8.384690855850398, 4.4402279984857795)","11","148","4500","208","4500","234","4500"
"(3.478964354883419, 2.9934774301926583, 3.8646991981754235)","(-4.5316445039719255, -9.207566405729137, 3.772500135376278)","12","364","4500","254","4500","190","4500"
"(-3.441712179901475, 4.481079692411568, -2.0185494943088425)","(-8.926811786863047, -6.3318867676919055, 4.031635371094273)","13","3692","4500","3741","4500","3760","4500"
"(3.2997775461241865, -3.426183949376435, -3.656874579628065)","(-5.725258740872703, -0.6946342423340681, 4.319710083288106)","14","52","4500","88","4500","58","4500"
"(3.6201689924250817, 2.873872950502327, -3.8256020089202973)","(0.7605605679043634, 4.2350271099916466, 3.7748571318754545)","15","80","4500","96","4500","44","4500"
"(4.361312322946934, 4.1171749743028485, -0.16680843109851048)","(4.944980518793098, -4.356864538049081, 4.148328484735437)","16","224","4500","194","4500","140","4500"
"(2.425717092471711, -2.708030077119033, -4.773098541692731)","(-6.454425227999481, -2.3786811694973746, 3.732666060068501)","17","236","4500","207","4500","66","4500"
"(-5.649246814988758, -0.3238442223785377, 1.9952782620405138)","(-1.070665312858507, -5.900017540107154, 3.9167585913067606)","18","312","4500","226","4500","152","4500"
"(-3.9295959282726773, -2.582248485402618, -3.7269650655913966)","(-5.893208462269213, 2.583188421632048, 4.088007349750527)","19","387","4500","360","4500","296","4500"
"(-5.384692352669303, -2.644740923720223, 0.10214555058460795)","(-0.10512161891682581, -9.532519484866182, 3.731669052272638)","20","359","4500","350","4500","394","4500"
"(-4.258414060970009, -3.713747400528443, 2.0184127254853386)","(1.0357830477229601, -4.053229588024165, 3.843282867132229)","21","80","4500","30","4500","0","4500"
"(-4.585941122783429, 1.638698722513375, 3.504826745389406)","(-1.2806314733613196, -7.8556071647949395, 4.149506641904448)","22","416","4500","360","4500","322","4500"
