"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(2.0099781904279808, 4.290307172964443, -3.8387978728319654)","(8.479240465923795, -9.897047486571262, 4.487837549415414)","1","5952","13500","6280","13500","6486","13500"
"(-1.5170611709294333, 6.136603654403417, -6.169980987841087)","(3.573401899177176, -7.081328692803089, 3.681618177333647)","2","785","13500","668","13500","584","13500"
"(-2.8216467996532533, -1.4797098588764932, 3.320628147967469)","(8.85425231532508, -2.274914082423141, 3.72768942361263)","3","7455","13500","7391","13500","7322","13500"
"(4.3847044623162175, -0.25511016984347085, -0.8168900025273521)","(4.472980980535894, 4.530252916337902, 4.0287164534328435)","4","1897","13500","2045","13500","2075","13500"
"(-3.21462471956656, 2.262545962468196, 1.0016097897026277)","(-7.22326800766637, -1.8423023205908589, 4.01500557687306)","5","2150","13500","2340","13500","2294","13500"
"(-4.369034927957455, 4.111918723073411, 6.914917868096467)","(8.714459357401939, 4.566955155669831, 4.015459216427168)","6","6950","13500","7049","13500","7085","13500"
"(-4.060578171412922, -3.790369463837484, 5.472762697671945)","(3.7639571658235873, 8.752126212319947, 4.04955572781841)","7","3422","13500","3868","13500","4350","13500"
"(2.791213713845815, 2.278313166249388, -3.3403229003210098)","(-3.858829424591379, 0.22035128230104917, 3.829777765000182)","8","387","13500","384","13500","260","13500"
"(-4.032698882580152, -1.1212230577149822, 7.976166733751349)","(-7.7628626722223615, -9.560703905120416, 3.7660293864038357)","9","2378","13500","2927","13500","3384","13500"
"(6.159071735492874, 4.251354650290385, 5.866874140443783)","(-4.923368243179769, 3.8592946786144537, 3.941027299246778)","10","948","13500","932","13500","920","13500"
"(3.7253806630500086, 2.202858809469439, 4.8429271934311355)","(9.580209933976157, 1.1748445072108282, 3.8524538457579904)","11","1752","13500","2093","13500","2041","13500"
"(5.931430468584126, 3.277532661099612, 3.0138490051429807)","(6.054907983140289, -5.896951665007766, 4.052557510929236)","12","2134","13500","2457","13500","2490","13500"
