"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-6.16839537956168, -6.18034685302644, 0.45065887606157184)","(-3.73879622353952, 3.371499240013044, 4.1362326261982645)","1","154","13500","174","13500","141","13500"
"(6.174667043556438, 6.336202980594002, 2.4958220347329623)","(-8.148859083510967, 3.6968131093195353, 3.7702726234713078)","2","719","13500","747","13500","724","13500"
"(3.608956372981022, -2.0951988991900077, -0.29421992676982156)","(3.573650082677384, -9.368498412102449, 4.46864529948172)","3","600","13500","674","13500","792","13500"
"(5.082322693160297, -3.7982625668861587, -5.529377336641543)","(-2.2936623215085072, -6.239557703119452, 3.9482460970876017)","4","776","13500","611","13500","458","13500"
"(8.409995998700815, -3.2224394558538725, -0.4327015578525425)","(-0.081531901811287, -0.5041132949873877, 4.121705478826287)","5","68","13500","48","13500","0","13500"
"(3.2487256809913414, 2.0956177477119664, 3.055911236386847)","(-8.774289727975598, -3.95159042580691, 4.274447404072161)","6","682","13500","794","13500","1006","13500"
"(1.6803517653056426, 5.004816849346787, -2.5453624256732663)","(0.24019628199513754, 9.352393431383653, 3.5411114005007343)","7","488","13500","569","13500","538","13500"
"(-5.3631643483435925, -7.392714848183142, -0.35345841926220234)","(-8.55126342036379, -5.277948483201045, 3.544409893485965)","8","386","13500","349","13500","384","13500"
"(-2.088041340867869, -1.417158200235787, -8.611496316364478)","(-6.230585021981636, -8.161150785514625, 4.229834430803789)","9","970","13500","1058","13500","1068","13500"
"(1.9621473273796497, 2.5349620919141334, 3.341103068928371)","(-0.9134806790737926, -4.3291668398816485, 4.392061300761365)","10","548","13500","530","13500","316","13500"
"(-1.6322513926669313, -1.0847514333253572, -9.288258270896861)","(-8.448895118069297, 5.732398768239946, 4.213759032569264)","11","842","13500","881","13500","902","13500"
"(3.9481297719943638, 4.507810776715989, -5.709918951334119)","(-4.1315207286021245, 9.170651848195138, 4.441047450511733)","12","7692","13500","7616","13500","7741","13500"
"(6.369749097200515, -6.978053871587953, 0.4955446250532843)","(-6.239966859100619, 8.423719070951016, 4.2820375417276635)","13","336","13500","416","13500","496","13500"
"(3.196731644049891, 4.298110174247948, 6.115139818740193)","(8.755512984757075, 3.29622966664574, 3.809217881300216)","14","328","13500","305","13500","272","13500"
"(-1.7761249032812005, 6.94680873682224, -0.8585495821127017)","(-3.9472654101927613, 1.3657338898850675, 3.648963992377148)","15","252","13500","206","13500","88","13500"
"(-1.951230216244639, -9.1812215776026, -2.6482034312090104)","(9.26053760101319, -1.7925555221277616, 4.446180364967014)","16","808","13500","804","13500","720","13500"
"(-7.373793882449, 4.641080906868707, -4.065664647502973)","(1.359292030451364, 2.6076146812770773, 4.077208092443877)","17","230","13500","125","13500","62","13500"
"(4.99666337182169, -4.24706596552135, -6.48086516774026)","(-7.79046143844579, -9.238914044181318, 4.123324076664045)","18","932","13500","948","13500","1074","13500"
"(1.3118180219979787, 7.882624311829391, -1.4113523986813743)","(-7.453090521787063, -2.6911428138874083, 3.5764874973745453)","19","358","13500","342","13500","330","13500"
"(-3.9156627126021823, 3.652991774629386, -1.9620621102293458)","(-6.722240407200426, -8.64966445122025, 4.4022558010603845)","20","7257","13500","7359","13500","7280","13500"
"(-2.5778287153467607, -4.3502613369287015, 5.854048768560913)","(-7.359360429044108, 1.3532276629995366, 4.346230679700137)","21","496","13500","534","13500","400","13500"
"(-5.206369872326459, -6.862294652251791, 1.8329467929417802)","(8.158983191490407, -5.797619127417697, 3.5768271334601334)","22","862","13500","980","13500","1060","13500"
"(-5.0117372804933815, -7.0423030129922015, -4.725774627569535)","(-1.9099901351358142, 4.07062194106569, 3.7991304425931878)","23","164","13500","20","13500","0","13500"
"(-0.07972750515058172, -2.1507969823346125, -2.226619760098137)","(9.1376884914155, -4.709563135970127, 3.735049549357491)","24","7232","13500","7362","13500","7171","13500"
"(-5.144365593723058, -3.9475841795629956, 5.748537236527811)","(4.492936798487648, 5.405570485218924, 4.158404586642079)","25","594","13500","642","13500","718","13500"
"(-2.8546031170069313, 0.5833065875776039, -3.095171574758373)","(-5.5292166949492945, 7.71333968827587, 4.133669398747843)","26","6994","13500","7097","13500","7255","13500"
"(5.81158461851278, -5.278637454162237, -0.4699498074220259)","(0.27490535385172166, -2.94896479221181, 3.8067628826265483)","27","118","13500","107","13500","18","13500"
"(6.193700828136645, -7.345996428812407, -1.4498287440254478)","(-7.3197391451383975, 4.222266233112602, 4.096141254209892)","28","259","13500","217","13500","218","13500"
"(-0.8468106221680349, 2.731941481584685, -5.616223146422884)","(-8.692467537573778, -9.835520229056538, 4.115164996525969)","29","861","13500","952","13500","994","13500"
"(-2.0585522204922877, -3.166022041593507, -3.4697012285097357)","(5.348765264656576, 3.5458959074419543, 4.026964642746904)","30","410","13500","428","13500","248","13500"
"(4.812008642325896, -2.368003672186463, -1.8370090427451913)","(6.0236705899332605, -9.488564431728559, 3.976335121962416)","31","754","13500","850","13500","1036","13500"
