"dipole_mom","dipole_loc","dipole_freq","low_success","low_count","medium_success","medium_count","high_success","high_count"
"(-6.850783298576002, 3.8672797767180156, 2.521237536481632)","(-8.278661205725712, 2.259405317398567, 4.488751992258035)","1","228","13500","257","13500","246","13500"
"(-3.0076478466774015, -0.04685794594851353, -3.9594293609027336)","(-6.0024642851935495, -2.1665154719667035, 3.517867111376036)","2","1787","13500","2185","13500","2564","13500"
"(-2.2076074259298992, 3.678864515584969, -6.895538359384934)","(-1.5123194180954478, 6.7810596669243, 3.8502870104994447)","3","414","13500","612","13500","620","13500"
"(0.41979643770943, 2.623621455010569, -2.3195869063607555)","(6.770994712798249, 8.676941103972233, 3.7083270814901574)","4","922","13500","921","13500","1098","13500"
"(-4.756032600792849, 2.4389398897549026, -0.6787203718645085)","(-5.222663909208778, 2.642644279994835, 4.307919983818239)","5","340","13500","452","13500","419","13500"
"(2.114591646045403, -4.919924106291264, -1.8865955109965842)","(7.404123665694819, -4.535980569010196, 4.493973504067007)","6","482","13500","592","13500","654","13500"
"(-1.915936311325516, 5.604413898305338, -7.479703411859822)","(-6.443570782148942, 1.4780937425386949, 4.347529053202685)","7","386","13500","230","13500","146","13500"
"(-2.71548640281035, 5.0566020445902105, -3.611224071384816)","(-8.232930713457517, 3.243867670118677, 4.458477659689244)","8","854","13500","968","13500","1130","13500"
"(-5.253360886920688, 4.241128124986599, 5.155196207572586)","(-6.034976962671363, 6.046594472015904, 4.149726689840575)","9","404","13500","610","13500","454","13500"
"(1.5055130985724363, -4.364579210917396, -4.256768994793211)","(9.074974193263628, 6.859178026501127, 3.7771916451282257)","10","864","13500","918","13500","1100","13500"
"(-1.6931985621280843, -6.22365270475058, -7.382746802230285)","(3.736367712204018, 7.208658507160873, 3.8993994432667045)","11","312","13500","275","13500","136","13500"
"(0.7542988255126254, 9.951926852505007, 0.022876731393376558)","(-7.812798355693786, 3.60105950180116, 3.999605673752183)","12","678","13500","692","13500","616","13500"
"(4.842797830583341, 3.8642217331068736, -4.26794064231661)","(-7.008062126326702, -6.777085363465871, 4.122502833337692)","13","716","13500","719","13500","738","13500"
"(-4.094678753862614, -1.014786133373247, 8.918200459906457)","(-5.812617384149428, -7.390495596506968, 3.678973414748914)","14","492","13500","501","13500","380","13500"
"(3.7451298255095256, 3.9688600951627606, 3.9033840987295343)","(6.002080669669962, -2.3737964738381496, 4.0751033807221075)","15","470","13500","508","13500","184","13500"
"(2.718534216905681, 3.1113331381359997, -7.437948279692782)","(-8.931330853862594, -6.22915670297524, 3.5692112472248865)","16","632","13500","642","13500","562","13500"
"(4.6513922025290295, 1.4076493828996774, -0.4546004087008591)","(3.0732084384696634, 8.477151778842853, 3.6854458918623596)","17","796","13500","898","13500","978","13500"
"(-3.1912687506261754, 2.3444722686891404, 7.782850512431255)","(-0.8889781611552259, 3.3820534450983093, 3.9981882726262423)","18","38","13500","46","13500","4","13500"
"(6.024243832296219, 1.5857230361765433, 5.179006894034015)","(-9.18892827977542, 7.187660658637874, 4.044070289073584)","19","7335","13500","7326","13500","7370","13500"
"(-7.503936556547978, -3.0067737744726424, 2.5484886248206156)","(-1.4095861834734187, 1.3572542641746121, 4.36243671773014)","20","256","13500","86","13500","20","13500"
"(-5.942350051746044, 7.215930180395186, 1.8836839969870802)","(2.66262362530108, -2.40184665618729, 4.0056507775270696)","21","164","13500","96","13500","12","13500"
"(-6.3833379569510225, -6.034562530584082, 3.247832351827056)","(-1.5562040822278185, -7.796968205380612, 4.4141740589109375)","22","197","13500","171","13500","180","13500"
"(-0.36220438533365407, -1.7303207108392842, 8.285649443775462)","(-9.962201739309933, 2.178386622459703, 3.828840485011054)","23","802","13500","868","13500","820","13500"
"(0.7456016290993552, 0.7475350666048535, -0.7985639030289821)","(4.995749624317638, 9.27055631292022, 3.8409756374714297)","24","7393","13500","7456","13500","7357","13500"
"(4.554498247626624, 4.600708202841071, -3.8937809895553843)","(3.6151719041890367, -0.4764692784178042, 4.225233949280639)","25","232","13500","194","13500","168","13500"
"(-4.111905401592049, 0.9011895595890489, -3.34179206272522)","(-3.9669864759348172, 4.707167813776884, 3.9878684874025017)","26","828","13500","922","13500","1044","13500"
"(-0.497192140175423, -1.7306275181709414, -4.415664053456601)","(9.711389476810076, 6.573173531600133, 4.048112572977924)","27","878","13500","958","13500","1030","13500"
"(-7.3253368976959, 0.49644226810568437, -6.349150415538705)","(-2.4627341715642403, 9.292230778033481, 3.9468752515419143)","28","946","13500","1006","13500","1050","13500"
"(-0.8946927756183363, -5.198083755955917, -2.3153453909014994)","(4.869439251312816, 7.254979294459318, 3.994471933037123)","29","706","13500","590","13500","582","13500"
"(4.082144704316512, 4.664608743863094, 4.235355588260455)","(2.035387018390608, -2.988448980253069, 4.2591531931768)","30","198","13500","128","13500","80","13500"
"(-4.601264270572928, -3.3790975285983262, 0.8670050191872227)","(-9.299747479186882, 7.801172590194891, 4.106726084951476)","31","7391","13500","7417","13500","7306","13500"
"(8.381666577641283, -0.6722806080944809, -5.127237646150611)","(4.66881408752643, 7.686827168747655, 3.525367400992154)","32","792","13500","908","13500","930","13500"
"(0.4672761718884333, 7.7965583919340755, 5.071935618690248)","(6.609880840485388, 5.951485228883202, 3.9324768255162215)","33","406","13500","461","13500","278","13500"
"(6.096434403498517, -5.541840228789448, -5.12389198669023)","(-5.298088138652166, 5.4809854708047805, 3.889232371486873)","34","185","13500","216","13500","75","13500"
"(4.438751991505064, -3.053442264961545, 1.5265869017039293)","(-1.081912773969444, -0.5414252727062756, 3.5104293084915676)","35","100","13500","50","13500","2","13500"
"(1.87318049195485, -0.18513532972091915, -1.6897925742099407)","(-4.816832905958028, 8.70381589239945, 3.602949040877079)","36","7389","13500","7373","13500","7222","13500"
"(4.001840258776381, -2.8721731750723904, -5.757493406940567)","(-0.4567861990806481, 9.89366647469566, 3.9242886345825023)","37","534","13500","596","13500","542","13500"
"(-1.2093120176328347, 4.633975780704151, 4.620874576458164)","(3.1741290401304134, 5.525705831785999, 3.9955266731654593)","38","458","13500","419","13500","88","13500"
"(1.0155623841282715, 6.597620660169368, 6.9153330866419855)","(3.967859251287182, 6.390298140864029, 4.152825624261165)","39","264","13500","334","13500","120","13500"
"(-1.189791473199947, 6.034137738427186, 0.8455321802576686)","(-0.24652286801546452, 5.2973098299745285, 3.5546192538524104)","40","202","13500","166","13500","68","13500"
"(-5.258852833662551, -3.027609795107834, -3.21268266010587)","(5.727253225831177, 3.1069234849050904, 4.058186316313831)","41","266","13500","287","13500","135","13500"
"(-3.0910927882609296, -3.885638605121799, 6.064756835566167)","(0.9930198895885454, -5.510281705060391, 3.603380940207796)","42","164","13500","90","13500","74","13500"
"(-8.03980103752315, -5.896353697794154, -0.4829903306474137)","(-4.69012677465678, 9.750499401856917, 3.5151008568288287)","43","874","13500","909","13500","1061","13500"
"(7.4283261618365, 1.859531178410365, 0.9596232083516171)","(3.083173909924664, 0.9049986869893178, 4.194106270896182)","44","170","13500","105","13500","48","13500"
"(-1.881826875716973, -0.025500010095984744, 5.641195377165518)","(6.410855738415265, 0.3988780490654342, 4.10675281467765)","45","542","13500","586","13500","649","13500"
"(-8.934618040841507, 2.9822506705380984, 1.5515454240073125)","(8.77389154231783, -5.702985582072786, 3.5403188378699393)","46","582","13500","571","13500","437","13500"
"(-4.864422425348481, -3.2270331390457523, 5.12203821920867)","(8.362507118291973, -0.6330365919771452, 4.299920836596095)","47","7179","13500","7345","13500","7340","13500"
"(-3.095578774704276, -3.977240408335447, -7.019581030545506)","(-5.279284660898657, -0.3376257492255661, 3.915549050398985)","48","462","13500","299","13500","188","13500"
"(6.083554573649512, -4.518216415951197, 3.0544302234603613)","(-1.741125041519286, -9.971890093513885, 4.058231426664835)","49","738","13500","776","13500","787","13500"
"(4.230149390801787, 1.0778327693004341, 4.07272269237272)","(8.114914484820762, -2.111628226586097, 3.9152792936399714)","50","510","13500","554","13500","490","13500"
"(-2.610048585734672, -4.309299573217149, 4.989834391235922)","(-7.281487833888061, -1.5666310382053403, 3.772728779580569)","51","346","13500","310","13500","276","13500"
"(5.8590331169612995, -2.162739517271437, 5.936411011823773)","(0.8145188429092904, -9.236208090540556, 3.9492358062664814)","52","606","13500","686","13500","656","13500"
"(-4.806232250792559, -4.973043349482819, -3.5730488609636706)","(-1.7244190085469064, 1.8976656364534978, 3.7138867127983994)","53","112","13500","58","13500","2","13500"
"(-0.11560643209619276, -3.3983848181426115, -4.998609856983709)","(5.587981412055722, 4.755927597447652, 4.211015338279975)","54","652","13500","546","13500","430","13500"
"(-6.468749240493835, 1.0864047061722828, -5.6692056620142885)","(-3.409947215624749, -3.8367891906388474, 4.248122923978567)","55","496","13500","370","13500","228","13500"
"(-6.928769247583264, -0.6537078828457988, 3.27193808063573)","(-1.336068598356018, 7.662405395597936, 3.7298442958898956)","56","738","13500","705","13500","668","13500"
"(-0.30514811156108035, 4.254110073118281, 4.349703411282274)","(-6.711576279462617, 4.564690749814712, 4.360290985196982)","57","632","13500","690","13500","687","13500"
"(-8.516610138145223, -3.7732779634191282, 3.4586200613342375)","(-7.645025129942351, -1.4842753536094868, 4.109419032883552)","58","181","13500","125","13500","104","13500"
"(4.276160573107464, 4.558824172820125, 3.388586480263936)","(3.8027301425965305, -7.249703779541685, 3.843349934991524)","59","7858","13500","7932","13500","7994","13500"
"(0.025809733390531633, -0.2718749287632887, 0.20771474376373666)","(-2.4509723510655634, 8.341455752304825, 4.167572656472121)","60","7180","13500","7255","13500","7284","13500"
"(3.953015516512941, 6.395559127441576, 5.0067520881222265)","(5.261889625462864, 8.581359736287105, 4.089930730708499)","61","510","13500","526","13500","400","13500"
"(5.843908540453224, -1.4652356981440369, -0.7460519653750389)","(6.798310660219119, -3.0948794392888708, 4.4782402950010605)","62","496","13500","636","13500","636","13500"
"(1.4406754467551626, 3.7736857673341824, -2.353574631774868)","(6.407177631951836, -3.45392726127991, 4.094153397945572)","63","871","13500","862","13500","966","13500"
"(3.827771677212189, -5.221043972119944, 5.1942021087423385)","(1.1704164832613557, -9.030340709264696, 3.8630994780857977)","64","334","13500","296","13500","324","13500"
